species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Corythornis cristatus,corythornis cristatus,corythornis_cristatus,0.07323279321351403,-0.2219242557857807,0.004540762047392366,TRUE,TRUE,TRUE,50%
Spermestes cucullata,spermestes cucullata,spermestes_cucullata,0.07723589805515062,-0.21908525949138566,0.004595209018006629,TRUE,TRUE,TRUE,50%
Cuculus clamosus,cuculus clamosus,cuculus_clamosus,-0.015068835577713727,-0.19711491311018958,0.004637220019381826,TRUE,TRUE,TRUE,50%
Oncostoma olivaceum,oncostoma olivaceum,oncostoma_olivaceum,0.07918116176364412,-0.21801737930685972,0.0046905200355964296,TRUE,TRUE,TRUE,50%
Oxyura vittata,oxyura vittata,oxyura_vittata,0.07352800039546602,-0.22284962914424142,0.0047137246036595744,TRUE,TRUE,TRUE,50%
Tangara schrankii,tangara schrankii,tangara_schrankii,0.0569378866832653,-0.13789853540279629,0.004721979902663835,TRUE,TRUE,TRUE,50%
Pseudoseisura cristata,pseudoseisura cristata,pseudoseisura_cristata,0.06105222050660178,-0.23047067977844882,0.004812813669956848,TRUE,TRUE,TRUE,50%
Rhinoptilus cinctus,rhinoptilus cinctus,rhinoptilus_cinctus,0.0054756163385820565,-0.14839302825076206,0.0048733038145617495,TRUE,TRUE,TRUE,50%
Phaethornis malaris,phaethornis malaris,phaethornis_malaris,0.08934432552171245,-0.15711886314593038,0.004940748154568971,TRUE,TRUE,TRUE,50%
Jubula lettii,jubula lettii,jubula_lettii,0.06013257571098633,-0.23174318167573987,0.004975849325974475,TRUE,TRUE,TRUE,50%
Lalage atrovirens,lalage atrovirens,lalage_atrovirens,0.04513959339546418,-0.13526871606557003,0.004976156858352148,TRUE,TRUE,TRUE,50%
Strix woodfordii,strix woodfordii,strix_woodfordii,-0.008025783985440535,-0.2173271263108125,0.004991190635060996,TRUE,TRUE,TRUE,50%
Calidris minutilla,calidris minutilla,calidris_minutilla,0.07054037759292181,-0.14080988971071703,0.0050252138987354105,TRUE,TRUE,TRUE,50%
Chalcites megarhynchus,chalcites megarhynchus,chalcites_megarhynchus,0.09749165845654523,-0.1765434331058788,0.005049205729836993,TRUE,TRUE,TRUE,50%
Pycnopygius ixoides,pycnopygius ixoides,pycnopygius_ixoides,0.09341616132244027,-0.16245655683848917,0.005075576995135827,TRUE,TRUE,TRUE,50%
Anser erythropus,anser erythropus,anser_erythropus,-0.018287972365546024,-0.19598580738800986,0.005147837442614208,TRUE,TRUE,TRUE,50%
Phylloscopus amoenus,phylloscopus amoenus,phylloscopus_amoenus,0.039435954663926145,-0.23728623475384059,0.0051535694847979095,TRUE,TRUE,TRUE,50%
