species,annual_mean_temperature,annual_precipitation,maximum_temperature_warmest_month,mean_temperature_coldest_quarter,mean_temperature_driest_quarter,minimum_temperature_coldest_month,precipitation_in_coldest_quarter,precipitation_of_coldest_quarter,precipitation_of_wettest_quarter,precipitation_wetest_month,temperature_annual_range,temperature_seasonality
Pternistis squamatus,224.034304,1625.20277,283.4236099,213.0824039,224.6065867,177.7928091,473.7721302,473.7721302,704.534816,246.6271488,105.631449,866.9143963
Pternistis swainsonii,208.3629801,595.4711285,311.0794793,147.3119447,157.0948315,77.33598028,6.812776708,6.812776708,390.8391833,135.3406183,233.745779,3558.840003
Pternistis swierstrai,153.6465209,1377.250128,241.8619903,130.0477036,130.0477036,49.14401802,0,0,767.7791671,298.3559941,192.7391664,1233.056983
Pterocles alchata,168.2840586,186.6487978,373.5109047,35.29840287,285.5308942,-18.04269365,74.61142648,74.61142648,93.27692157,33.06757345,391.5528554,9739.119101
Pterocles bicinctus,215.6161698,495.4889674,320.0057645,156.5169654,167.126506,85.91266028,5.124795714,5.124795714,338.0352025,118.1597584,234.0958713,3493.489418
Pterocles burchelli,211.8190714,402.9417826,323.5301386,139.9161847,150.8068284,66.03113433,3.070148063,3.070148063,267.2189463,93.33558443,257.5020708,4263.906785
Pterocles coronatus,247.2218613,58.1868744,410.4267031,145.281627,275.382832,76.11469059,21.00718893,21.00718893,40.73118389,15.71135373,334.3117726,6920.499405
Pterocles decoratus,249.8984426,573.6318913,325.3050326,233.8123404,245.537654,184.7958027,94.2288472,94.2288472,350.7915928,138.4794151,140.5086427,1163.482558
Pterocles exustus,270.3670134,442.5538576,387.3779837,211.5623229,248.5188195,143.5069363,38.88031552,38.88031552,369.2290835,133.8957501,243.8702571,3769.316127
Pterocles gutturalis,216.4594552,713.7509541,310.522303,177.1691005,185.5482367,113.2150086,43.17595632,43.17595632,452.962979,159.9592085,197.3107916,2385.353246
Pterocles indicus,252.6709255,1261.459862,377.5744235,192.8881404,230.1404033,126.0905546,107.039874,107.039874,1056.718924,381.9117501,251.4834199,3934.762121
Pterocles lichtensteinii,262.0124638,139.4231906,392.876093,187.0439782,241.8460563,119.0366986,30.0606601,30.0606601,103.6761685,39.59067246,273.8397684,4955.928846
Pterocles namaqua,208.1003931,311.6370795,320.2690163,141.7906712,156.755009,69.38612075,6.937189952,6.937189952,208.8331377,73.76143618,250.8853906,4070.330419
Pterocles orientalis,134.8962507,228.8892242,341.2258257,-5.070233132,203.9269432,-60.37797158,76.3181641,76.3181641,107.4579688,38.05771013,401.6037804,10095.82097
Pterocles personatus,249.1361728,998.1633804,309.9439532,216.9375817,221.5539416,170.7016416,30.44890679,30.44890679,744.7552124,274.355724,139.2414392,1967.624016
Pterocles quadricinctus,273.6832478,699.010609,379.681933,239.5722375,255.040022,170.7799136,174.8314082,174.8314082,540.7151112,192.2696063,208.9013304,2444.111855
Pterocles senegallus,253.2270671,76.62415387,408.9510715,157.2194407,273.7539366,88.85248922,22.37520607,22.37520607,55.50370041,20.68810722,320.0980731,6517.676076
Pterodroma alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
