species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Phyllomyias virescens,phyllomyias virescens,phyllomyias_virescens,-0.45332796820425686,-0.2034260609176812,0.03565505503261503,TRUE,TRUE,TRUE,50%
Eriocnemis cupreoventris,eriocnemis cupreoventris,eriocnemis_cupreoventris,-0.4778697834951153,-0.2697489531396671,0.036159269135202,TRUE,TRUE,TRUE,50%
Passer insularis,passer insularis,passer_insularis,-0.1781018320647132,-0.23158633112736046,0.03635972539652719,TRUE,TRUE,TRUE,50%
Diglossa humeralis,diglossa humeralis,diglossa_humeralis,-0.2089104657191584,-0.339783804791967,0.03646407210468593,TRUE,TRUE,TRUE,50%
Numida meleagris,numida meleagris,numida_meleagris,-0.17927118252213708,-0.2833099789215303,0.036749953410735975,TRUE,TRUE,TRUE,50%
Paragallinula angulata,paragallinula angulata,paragallinula_angulata,-0.18094288798437266,-0.21384640575544764,0.03717499551162784,TRUE,TRUE,TRUE,50%
Dryoscopus pringlii,dryoscopus pringlii,dryoscopus_pringlii,-0.18353417126814742,-0.30100390617212014,0.03745614659932404,TRUE,TRUE,TRUE,50%
Onychognathus frater,onychognathus frater,onychognathus_frater,-0.17512708041169714,-0.23290763495751826,0.03765996918825597,TRUE,TRUE,TRUE,50%
Strix hylophila,strix hylophila,strix_hylophila,-0.47963742885681654,-0.257119661297143,0.03775248218165886,TRUE,TRUE,TRUE,50%
Mimus parvulus,mimus parvulus,mimus_parvulus,-0.2513045216003775,-0.138826845469798,0.03781920505109013,TRUE,TRUE,TRUE,50%
Muscipipra vetula,muscipipra vetula,muscipipra_vetula,-0.44056702461926733,-0.1802276845451065,0.038132067466116776,TRUE,TRUE,TRUE,50%
Pyrocephalus nanus,pyrocephalus nanus,pyrocephalus_nanus,-0.24395373421489888,-0.14048980812885473,0.03860916037025937,TRUE,TRUE,TRUE,50%
Incana incana,incana incana,incana_incana,-0.17685861990154417,-0.21676238527787225,0.03861983602470856,TRUE,TRUE,TRUE,50%
Buteo galapagoensis,buteo galapagoensis,buteo_galapagoensis,-0.24671288703748384,-0.13907083315372065,0.03866536089926806,TRUE,TRUE,TRUE,50%
Geospiza fuliginosa,geospiza fuliginosa,geospiza_fuliginosa,-0.21637214803419466,-0.1578185751585591,0.038729293453849345,TRUE,TRUE,TRUE,50%
Vanellus chilensis,vanellus chilensis,vanellus_chilensis,-0.17177038430259572,-0.2632757805905237,0.03878123242412883,TRUE,TRUE,TRUE,50%
Syrigma sibilatrix,syrigma sibilatrix,syrigma_sibilatrix,-0.4508558801158423,-0.1897148778546694,0.038917932947154496,TRUE,TRUE,TRUE,50%
Geospiza fortis,geospiza fortis,geospiza_fortis,-0.20115316846376038,-0.17115779940884,0.03920738287171173,TRUE,TRUE,TRUE,50%
Anabacerthia amaurotis,anabacerthia amaurotis,anabacerthia_amaurotis,-0.4696564983161346,-0.21588107307299603,0.039680062468541694,TRUE,TRUE,TRUE,50%
Mirafra albicauda,mirafra albicauda,mirafra_albicauda,-0.19036196328638275,-0.3246275438009038,0.03982219859789002,TRUE,TRUE,TRUE,50%
Mimus saturninus,mimus saturninus,mimus_saturninus,-0.2510512098802289,-0.13476455069007087,0.03983764022945627,TRUE,TRUE,TRUE,50%
Cinnycerthia unirufa,cinnycerthia unirufa,cinnycerthia_unirufa,-0.18123493156602227,-0.19803399218104817,0.039996601054066605,TRUE,TRUE,TRUE,50%
Nectarinia kilimensis,nectarinia kilimensis,nectarinia_kilimensis,-0.3008532266823892,-0.12074932903577627,0.04130207502673703,TRUE,TRUE,TRUE,50%
Geospiza magnirostris,geospiza magnirostris,geospiza_magnirostris,-0.21577849347123265,-0.15149695614640732,0.04145929564514378,TRUE,TRUE,TRUE,50%
Cisticola cinereolus,cisticola cinereolus,cisticola_cinereolus,-0.2358814056828307,-0.37708546295882994,0.04160866216287827,TRUE,TRUE,TRUE,50%
Chalcomitra balfouri,chalcomitra balfouri,chalcomitra_balfouri,-0.16407155959591155,-0.2481118509458152,0.04247209538926484,TRUE,TRUE,TRUE,50%
Thlypopsis pyrrhocoma,thlypopsis pyrrhocoma,thlypopsis_pyrrhocoma,-0.48836596001301785,-0.3044233266874757,0.04251848193835879,TRUE,TRUE,TRUE,50%
Piculus aurulentus,piculus aurulentus,piculus_aurulentus,-0.49049716251733516,-0.26872478413898326,0.04253629459058106,TRUE,TRUE,TRUE,50%
