x,y,level,level_probability
1.5330907054750988,-1.9802715864172222,50%,0.5
1.5623514726841798,-1.9379962919731786,50%,0.5
1.5907635542812468,-1.894975308990793,50%,0.5
1.6183144042908992,-1.8512276343250607,50%,0.5
1.6449918570333615,-1.8067725857175667,50%,0.5
1.6707841324965031,-1.7616297932663152,50%,0.5
1.6956798415375613,-1.7158191907576312,50%,0.5
1.7196679909122665,-1.6693610068639628,50%,0.5
1.7427379881291494,-1.622275756211464,50%,0.5
1.7648796461268852,-1.5745842303213196,50%,0.5
1.786083187772616,-1.5263074884287917,50%,0.5
1.8063392501792548,-1.4774668481840547,50%,0.5
1.825638888839874,-1.4280838762389203,50%,0.5
1.843973581577348,-1.3781803787236129,50%,0.5
1.8613352323075072,-1.3277783916177923,50%,0.5
1.8777161746141389,-1.276900171020092,50%,0.5
1.8931091751342632,-1.2255681833204477,50%,0.5
1.9075074367521816,-1.1738050952795722,50%,0.5
1.92090460160089,-1.1216337640199552,50%,0.5
1.9332947538695378,-1.069077226932797,50%,0.5
1.9446724224156797,-1.0161586915053487,50%,0.5
1.9550325831811801,-0.9629015250731376,50%,0.5
1.9643706614106955,-0.9093292445016101,50%,0.5
1.9726825336717584,-0.8554655058017449,50%,0.5
1.9799645296755648,-0.8013340936842253,50%,0.5
1.9862134338976782,-0.7469589110567819,50%,0.5
1.9914264869979068,-0.6923639684693406,50%,0.5
1.9956013870387552,-0.6375733735116333,50%,0.5
1.998736290501894,-0.5826113201679779,50%,0.5
2.0008298131022038,-0.5275020781338853,50%,0.5
2.0018810303990415,-0.4722699820992498,50%,0.5
2.001889478204439,-0.4169394210028329,50%,0.5
2.000855152788086,-0.3615348272627963,50%,0.5
1.998778510878967,-0.3060806659880323,50%,0.5
1.9956604694636904,-0.2506014241750614,50%,0.5
1.9915024053815678,-0.19512159989526434,50%,0.5
1.9863061547166436,-0.1396656914772219,50%,0.5
1.9800740119869318,-0.08425818668894394,50%,0.5
1.9728087291312197,-0.028923551924760232,50%,0.5
1.9645135142938897,0.026313778598351156,50%,0.5
1.955192030408295,0.08142941363022549,50%,0.5
1.9448483935793084,0.1363990156579986,50%,0.5
1.933487171265768,0.19119831165287732,50%,0.5
1.9211133802636169,0.24580310378841108,50%,0.5
1.907732484490625,0.3001892801255806,50%,0.5
1.8933503925736768,0.3543328252599485,50%,0.5
1.8779734552396918,0.4082098309261866,50%,0.5
1.8616084625113183,0.4617965065552923,50%,0.5
1.8442626407086513,0.5150691897798343,50%,0.5
1.8259436492582937,0.5680043568825879,50%,0.5
1.8066595773111696,0.620578633183946,50%,0.5
1.7864189401705828,0.6727688033635206,50%,0.5
1.7652306755320961,0.7245518217113736,50%,0.5
1.7431041395369007,0.7759048223043539,50%,0.5
1.7200491026404048,0.8268051291030456,50%,0.5
1.6960757452978756,0.8772302659648685,50%,0.5
1.6711946534690394,0.927157966568908,50%,0.5
1.6454168139436145,0.9765661842481037,50%,0.5
1.6187536094898598,1.0254331017244245,50%,0.5
1.5912168138282632,1.0737371407427725,50%,0.5
1.5628185864325959,1.1214569715993317,50%,0.5
1.533571467160633,1.1685715225601638,50%,0.5
1.5034883707169053,1.2150599891658929,50%,0.5
1.4725825809499287,1.26090184341837,50%,0.5
1.4408677449864302,1.3060768428452583,50%,0.5
1.4083578672051629,1.3505650394385385,50%,0.5
1.3750673030529643,1.394346788462989,50%,0.5
1.3410107527057964,1.4374027571307477,50%,0.5
1.3062032545775613,1.4797139331381253,50%,0.5
1.2706601786795615,1.521261633060905,50%,0.5
1.2343972198335351,1.5620275106044172,50%,0.5
1.1974303907412667,1.6019935647047425,50%,0.5
1.1597760149138208,1.6411421474774843,50%,0.5
1.1214507194635506,1.679455972010566,50%,0.5
1.082471427762026,1.7169181199976518,50%,0.5
1.0428553519671506,1.7535120492087937,50%,0.5
1.002619985422757,1.7892216007950124,50%,0.5
0.9617830949340398,1.824031006423593,50%,0.5
0.9203627129222332,1.8579248952409344,50%,0.5
