species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,mahalanobis_d2,inside_50_core,inside_80_core,inside_95_core,closest_core_level
Buteo socotraensis,buteo socotraensis,buteo_socotraensis,-0.2612105950819917,-0.1727167849491615,0.0038408053663425683,TRUE,TRUE,TRUE,50%
Saltator fuliginosus,saltator fuliginosus,saltator_fuliginosus,-0.39680121416742,-0.113538920226117,0.0038633274296181663,TRUE,TRUE,TRUE,50%
Cursorius temminckii,cursorius temminckii,cursorius_temminckii,-0.4282954091133473,-0.12708475561201626,0.0038876390956416144,TRUE,TRUE,TRUE,50%
Pternistis castaneicollis,pternistis castaneicollis,pternistis_castaneicollis,-0.24033944835306348,-0.3122254436197989,0.004099876740912282,TRUE,TRUE,TRUE,50%
Scopus umbretta,scopus umbretta,scopus_umbretta,-0.47729300945449504,-0.1813873495040889,0.004119079003871718,TRUE,TRUE,TRUE,50%
Myiothlypis nigrocristata,myiothlypis nigrocristata,myiothlypis_nigrocristata,-0.24113993075859122,-0.20224567981595432,0.004134169243782956,TRUE,TRUE,TRUE,50%
Pseudospingus verticalis,pseudospingus verticalis,pseudospingus_verticalis,-0.31843594613649123,-0.38941925723700327,0.004159976886875449,TRUE,TRUE,TRUE,50%
Eriocnemis nigrivestis,eriocnemis nigrivestis,eriocnemis_nigrivestis,-0.48087140743361806,-0.18594180639210556,0.0042234629988312814,TRUE,TRUE,TRUE,50%
Triclaria malachitacea,triclaria malachitacea,triclaria_malachitacea,-0.4089080645832911,-0.3817944411089901,0.00433382649794648,TRUE,TRUE,TRUE,50%
Nectarinia kilimensis,nectarinia kilimensis,nectarinia_kilimensis,-0.3008532266823892,-0.12074932903577627,0.00441543643254236,TRUE,TRUE,TRUE,50%
Piculus aurulentus,piculus aurulentus,piculus_aurulentus,-0.49049716251733516,-0.26872478413898326,0.004440856934633726,TRUE,TRUE,TRUE,50%
Campylorhamphus falcularius,campylorhamphus falcularius,campylorhamphus_falcularius,-0.45325228713897475,-0.13515282546417548,0.004443130015429285,TRUE,TRUE,TRUE,50%
Nannopterum brasilianum,nannopterum brasilianum,nannopterum_brasilianum,-0.31676922555147297,-0.11097966671987922,0.004478824032957057,TRUE,TRUE,TRUE,50%
Tockus erythrorhynchus,tockus erythrorhynchus,tockus_erythrorhynchus,-0.4959873651921799,-0.2367603723774978,0.004623009518121068,TRUE,TRUE,TRUE,50%
Zosterops flavilateralis,zosterops flavilateralis,zosterops_flavilateralis,-0.2319390287008809,-0.31789197520719337,0.004726059973780856,TRUE,TRUE,TRUE,50%
Herpsilochmus parkeri,herpsilochmus parkeri,herpsilochmus_parkeri,-0.2211604822602146,-0.22921090084532475,0.004963069901494527,TRUE,TRUE,TRUE,50%
Rhea americana,rhea americana,rhea_americana,-0.4043457707693124,-0.09600613267836508,0.004971312105347612,TRUE,TRUE,TRUE,50%
Thlypopsis pyrrhocoma,thlypopsis pyrrhocoma,thlypopsis_pyrrhocoma,-0.48836596001301785,-0.3044233266874757,0.004985238634860629,TRUE,TRUE,TRUE,50%
Certhidea olivacea,certhidea olivacea,certhidea_olivacea,-0.2376902831114246,-0.1731366158861922,0.005180855230501863,TRUE,TRUE,TRUE,50%
Estrilda rhodopyga,estrilda rhodopyga,estrilda_rhodopyga,-0.2579978471356796,-0.3752558015306647,0.0053312290658116945,TRUE,TRUE,TRUE,50%
Centropus superciliosus,centropus superciliosus,centropus_superciliosus,-0.4576252486923588,-0.1192106467168347,0.005362967253385636,TRUE,TRUE,TRUE,50%
Geranoaetus albicaudatus,geranoaetus albicaudatus,geranoaetus_albicaudatus,-0.29301999104885385,-0.10803158588950955,0.0054080423091583405,TRUE,TRUE,TRUE,50%
Synallaxis cinerascens,synallaxis cinerascens,synallaxis_cinerascens,-0.4762818828329388,-0.1378489463626217,0.005455622996537868,TRUE,TRUE,TRUE,50%
Elanus caeruleus,elanus caeruleus,elanus_caeruleus,-0.465208879663912,-0.1242402418468784,0.005477285767428756,TRUE,TRUE,TRUE,50%
Tauraco hartlaubi,tauraco hartlaubi,tauraco_hartlaubi,-0.4763551348654179,-0.3427570036294204,0.005513242068189281,TRUE,TRUE,TRUE,50%
Zenaida galapagoensis,zenaida galapagoensis,zenaida_galapagoensis,-0.22075654513880685,-0.1990023491537865,0.005554687360923685,TRUE,TRUE,TRUE,50%
Merulaxis stresemanni,merulaxis stresemanni,merulaxis_stresemanni,-0.5096787927713521,-0.2521419670067567,0.005643941833226372,TRUE,TRUE,TRUE,50%
Platyrinchus leucoryphus,platyrinchus leucoryphus,platyrinchus_leucoryphus,-0.3381735531859672,-0.08441656125313086,0.005666242024537758,TRUE,TRUE,TRUE,50%
Drymophila malura,drymophila malura,drymophila_malura,-0.45246387144031547,-0.10823006924713456,0.005700538403648542,TRUE,TRUE,TRUE,50%
Poicephalus meyeri,poicephalus meyeri,poicephalus_meyeri,-0.5002659559829687,-0.17389916179865783,0.00573057283211528,TRUE,TRUE,TRUE,50%
Mimus parvulus,mimus parvulus,mimus_parvulus,-0.2513045216003775,-0.138826845469798,0.005766022455135703,TRUE,TRUE,TRUE,50%
Agapornis fischeri,agapornis fischeri,agapornis_fischeri,-0.22166526190485678,-0.3331591165723385,0.005780806249884645,TRUE,TRUE,TRUE,50%
Procnias nudicollis,procnias nudicollis,procnias_nudicollis,-0.34308190842153446,-0.08121146497084367,0.005808069206817072,TRUE,TRUE,TRUE,50%
Coeligena helianthea,coeligena helianthea,coeligena_helianthea,-0.5061114963564157,-0.2859345018178289,0.005809542803595319,TRUE,TRUE,TRUE,50%
Ceblepyris caesius,ceblepyris caesius,ceblepyris_caesius,-0.22201726041974135,-0.3362849440107592,0.005850146774208596,TRUE,TRUE,TRUE,50%
Heliobletus contaminatus,heliobletus contaminatus,heliobletus_contaminatus,-0.5081320076707911,-0.1906122010047843,0.0059134285785421795,TRUE,TRUE,TRUE,50%
Mimus saturninus,mimus saturninus,mimus_saturninus,-0.2510512098802289,-0.13476455069007087,0.00597796232758985,TRUE,TRUE,TRUE,50%
Spermestes griseicapilla,spermestes griseicapilla,spermestes_griseicapilla,-0.5075213938480441,-0.18348167886448488,0.006012032390007176,TRUE,TRUE,TRUE,50%
Buteo galapagoensis,buteo galapagoensis,buteo_galapagoensis,-0.24671288703748384,-0.13907083315372065,0.006024934016139474,TRUE,TRUE,TRUE,50%
Pyrocephalus nanus,pyrocephalus nanus,pyrocephalus_nanus,-0.24395373421489888,-0.14048980812885473,0.006125026239025515,TRUE,TRUE,TRUE,50%
Passer eminibey,passer eminibey,passer_eminibey,-0.34274481006431956,-0.42482342098153836,0.006134710774144641,TRUE,TRUE,TRUE,50%
Celeus galeatus,celeus galeatus,celeus_galeatus,-0.4386514145230613,-0.3954852578237339,0.006216528544200766,TRUE,TRUE,TRUE,50%
Macronyx aurantiigula,macronyx aurantiigula,macronyx_aurantiigula,-0.2709661639663448,-0.1103153681282737,0.006231848940712277,TRUE,TRUE,TRUE,50%
Sporopipes frontalis,sporopipes frontalis,sporopipes_frontalis,-0.20662797613405257,-0.21350670507010489,0.006285841629908929,TRUE,TRUE,TRUE,50%
Progne modesta,progne modesta,progne_modesta,-0.21594941487056904,-0.18490947740347136,0.006291971911366478,TRUE,TRUE,TRUE,50%
Pionopsitta pileata,pionopsitta pileata,pionopsitta_pileata,-0.4870525886146568,-0.34572150747135777,0.006324102171832067,TRUE,TRUE,TRUE,50%
Cisticola bodessa,cisticola bodessa,cisticola_bodessa,-0.2943183212826241,-0.4170688753158246,0.006332979412127375,TRUE,TRUE,TRUE,50%
Micronisus gabar,micronisus gabar,micronisus_gabar,-0.517985589268416,-0.2067959551350866,0.006407356498897027,TRUE,TRUE,TRUE,50%
Attila phoenicurus,attila phoenicurus,attila_phoenicurus,-0.4962905256182536,-0.3331462441427069,0.006453212827879481,TRUE,TRUE,TRUE,50%
Melaniparus albiventris,melaniparus albiventris,melaniparus_albiventris,-0.5127566771995781,-0.18049606912343585,0.006459818888098671,TRUE,TRUE,TRUE,50%
Pogoniulus pusillus,pogoniulus pusillus,pogoniulus_pusillus,-0.32503471697164127,-0.4281234279640617,0.006489898325023189,TRUE,TRUE,TRUE,50%
Cisticola cinereolus,cisticola cinereolus,cisticola_cinereolus,-0.2358814056828307,-0.37708546295882994,0.006570242296830573,TRUE,TRUE,TRUE,50%
Cisticola nana,cisticola nana,cisticola_nana,-0.21711485576658135,-0.16970656304043608,0.006715209144162757,TRUE,TRUE,TRUE,50%
Vidua hypocherina,vidua hypocherina,vidua_hypocherina,-0.23841452774627475,-0.3837444374506354,0.006748422700625503,TRUE,TRUE,TRUE,50%
Drymophila rubricollis,drymophila rubricollis,drymophila_rubricollis,-0.4967515703443063,-0.3398128066399335,0.006748669985234159,TRUE,TRUE,TRUE,50%
Guira guira,guira guira,guira_guira,-0.5045394868217373,-0.1481473143778187,0.006810689529324731,TRUE,TRUE,TRUE,50%
Amandava subflava,amandava subflava,amandava_subflava,-0.30958643207591524,-0.07729944328884918,0.006823472838621361,TRUE,TRUE,TRUE,50%
Diglossa humeralis,diglossa humeralis,diglossa_humeralis,-0.2089104657191584,-0.339783804791967,0.00686367061410291,TRUE,TRUE,TRUE,50%
