species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Melopyrrha portoricensis,melopyrrha portoricensis,melopyrrha_portoricensis,1.058481644249314,0.008340894896187554,-1.058481644249314,1.341463773250385,1.1091146681277206,0.008340894896187554,0.4837605620032033,-0.11183592350960386,-0.4007187485810048,0.007245442076039424,-0.036324349301864484,-0.0010358374446958957,-2.577939269749947e-4,3.1916071751275964e-16
Euneornis campestris,euneornis campestris,euneornis_campestris,1.3207473024245127,0.38435272834731987,-1.3207473024245127,1.068986683936001,0.7793144344761228,0.38435272834731987,0.31209727289888706,-0.06812628747779127,-0.3288668605682421,-0.015021722699513804,0.06325103449507934,2.516362044008289e-4,4.4378443176469285e-5,3.1319874854181203e-16
Tiaris olivaceus,tiaris olivaceus,tiaris_olivaceus,1.0100052658834227,0.24570912005837287,-1.0100052658834227,0.8464831906801067,0.1519937801777679,0.24570912005837287,0.06459221799751313,0.0014740316286410734,-0.07097135780863732,-0.015079020924907607,0.012966131958764898,-0.001177030218215277,7.133535877025827e-6,2.288405529624242e-16
Coereba flaveola,coereba flaveola,coereba_flaveola,1.8429273559036983,-0.4630204826427279,-1.8429273559036983,0.3093776179239972,-0.2962326945171281,-0.4630204826427279,-0.15509633672129172,-0.07904261849144532,-0.026550704492404573,-0.011363638835291087,-0.01832425539917596,0.0010374410865313102,-2.947056939162887e-6,-3.9796471885510793e-16
Tangara florida,tangara florida,tangara_florida,4.028296301935313,-0.6607609796268544,-4.028296301935313,-2.451261304069543,-0.6976085591227235,-0.6607609796268544,0.182884905095732,0.008963515993117462,0.10918583750893782,0.018297401575209676,-3.937762734120524e-4,0.00618386489191608,2.4631872219420575e-5,-1.0174200302994607e-15
Tangara icterocephala,tangara icterocephala,tangara_icterocephala,3.3483363098489174,-0.6711427152352788,-3.3483363098489174,-2.351143157599781,-0.363027345441327,-0.6711427152352788,0.026233388745249574,-0.0032151366994155697,0.09572851258136837,0.014473253002258669,0.003373036406098805,0.0050895804380754125,-5.200631535887879e-6,-9.04690112964207e-16
Tangara arthus,tangara arthus,tangara_arthus,0.29724469421412036,-0.45513365969687913,-0.29724469421412036,0.39227083507612076,1.283661158352657,-0.45513365969687913,-0.10178086542015315,-0.07016670059865608,-0.006883751115779619,0.0015577654665830908,-0.01103669985158807,0.005572708805505682,-3.84628972580104e-5,-1.204137545630528e-16
Tangara johannae,tangara johannae,tangara_johannae,5.9938205659490205,-0.5345990884640164,-5.9938205659490205,-3.85210303650901,-1.8628900698403625,-0.5345990884640164,0.7283700872316228,0.11559886239562957,0.4420807319042745,-0.00491249032505504,0.05013329802981091,0.014469889988508382,4.638720455160866e-5,-6.881134731239526e-16
Tangara schrankii,tangara schrankii,tangara_schrankii,2.4318078543964528,-0.23753899210169,-2.4318078543964528,-0.21690200889243336,-0.1195146125671825,-0.23753899210169,0.21816025937411668,-0.010049163378842105,0.11082587577049427,-0.00589638715302565,-0.007128430169214746,-3.898133650208321e-4,3.9541473756638786e-6,-1.9167922133998973e-16
Tangara parzudakii,tangara parzudakii,tangara_parzudakii,0.45921116141836305,-0.1574335464321186,-0.45921116141836305,-0.7248510454209759,1.1037164023000712,-0.1574335464321186,0.01688015262087879,0.022846170014265005,0.19835567386162375,0.005994155151596357,0.006711083145536904,-0.005130820818334853,1.0694392113369462e-6,-3.922856675218794e-17
Tangara xanthocephala,tangara xanthocephala,tangara_xanthocephala,0.43513792859360817,0.10655799438849706,-0.43513792859360817,-0.86340703918287,1.102514459851262,0.10655799438849706,0.007502519227234394,0.026775323202604246,0.1528406405768665,0.014678153585518928,0.0040823418553318355,-0.002139287081196609,-2.4423640652371537e-6,-7.532351644394861e-18
Tangara chrysotis,tangara chrysotis,tangara_chrysotis,0.6127577687730216,0.12700158923283256,-0.6127577687730216,-0.44895216304578217,0.7991469315915667,0.12700158923283256,0.09647240656306033,0.02976668220951324,0.2053913778587484,0.028272956385883372,0.00859349723770729,-0.00073895692966213105,3.2180447764362043e-6,4.357670656011057e-17
Tangara brasiliensis,tangara brasiliensis,tangara_brasiliensis,0.40431083777484506,-0.10242179723054301,-0.40431083777484506,1.2102222835462777,0.5683147251163517,-0.10242179723054301,0.24478967099604976,-0.09581026807427176,-0.10380228711967297,0.001818696724318368,-0.018419714992637434,0.004918028201233216,1.3776439398192595e-5,1.9579509617860806e-16
Tangara mexicana,tangara mexicana,tangara_mexicana,2.4858533039294337,-0.42120414520418137,-2.4858533039294337,-0.12474964717352942,-0.3645519782301798,-0.42120414520418137,-0.042453886806070054,-0.04823366225660144,0.0185320521723728,-0.01635429136530392,-0.020293298957548417,7.086500589002213e-5,2.9685324782184493e-7,-3.3263047221494433e-16
Tangara inornata,tangara inornata,tangara_inornata,3.825273532880944,-0.540448585016823,-3.825273532880944,-1.643152439062484,-0.6428286525673708,-0.540448585016823,0.32243658946415404,0.0038791706548318332,0.15232223585307866,0.006735517795148329,0.008004940292438431,0.011268902421986787,5.227273978189472e-5,-5.040807658585502e-16
Tangara callophrys,tangara callophrys,tangara_callophrys,2.2126876000138385,-0.034899690652575206,-2.2126876000138385,-0.0072855853679499915,0.04633356070974518,-0.034899690652575206,0.36315205612226137,0.01895937155589195,0.15173936095648163,-0.006982662063488736,-6.777861108883964e-4,-8.271771138430433e-4,1.614880244747659e-5,1.2986638947506995e-16
